cloud,log_sigma_gas,log_sigma_sfr
Cep OB3,2.5615,1.0732
Cep OB3,2.5652,1.0707
Cep OB3,2.5671,1.0859
Cep OB3,2.569,1.0859
Cep OB3,2.5709,1.0758
Cep OB3,2.5727,1.0808
Cep OB3,2.5746,1.0859
Cep OB3,2.5765,1.0909
Cep OB3,2.5784,1.101
Cep OB3,2.5803,1.096
Cep OB3,2.5821,1.101
Cep OB3,2.584,1.1061
Cep OB3,2.5859,1.1111
Cep OB3,2.5878,1.1111
Cep OB3,2.5897,1.1263
Cep OB3,2.5915,1.1313
Cep OB3,2.5934,1.1364
Cep OB3,2.5953,1.1313
Cep OB3,2.5972,1.1439
Cep OB3,2.5991,1.149
Cep OB3,2.6009,1.154
Cep OB3,2.6047,1.1667
Cep OB3,2.6066,1.1641
Cep OB3,2.6085,1.1692
Cep OB3,2.6122,1.1768
Cep OB3,2.6141,1.1793
Cep OB3,2.616,1.1843
Cep OB3,2.6179,1.1818
Cep OB3,2.6197,1.1919
Cep OB3,2.6216,1.1869
Cep OB3,2.6235,1.1919
Cep OB3,2.6254,1.2121
Cep OB3,2.6273,1.2121
Cep OB3,2.6291,1.2222
Cep OB3,2.631,1.2273
Cep OB3,2.6329,1.2172
Cep OB3,2.6348,1.2222
Cep OB3,2.6367,1.2273
Cep OB3,2.6385,1.2323
Cep OB3,2.6404,1.2374
Cep OB3,2.6442,1.2525
Cep OB3,2.6461,1.2551
Cep OB3,2.6479,1.2525
Cep OB3,2.6498,1.2677
Cep OB3,2.6517,1.2727
Cep OB3,2.6536,1.2778
Cep OB3,2.6555,1.2828
Cep OB3,2.6573,1.2854
Cep OB3,2.6592,1.2727
Cep OB3,2.6611,1.2854
Cep OB3,2.663,1.2879
Cep OB3,2.6649,1.2879
Cep OB3,2.6667,1.2828
Cep OB3,2.6686,1.2904
Cep OB3,2.6705,1.298
Cep OB3,2.6724,1.298
Cep OB3,2.6743,1.303
Cep OB3,2.6761,1.3005
Cep OB3,2.678,1.3131
Cep OB3,2.6799,1.3182
Cep OB3,2.6818,1.3081
Cep OB3,2.6837,1.3131
Cep OB3,2.6855,1.3207
Cep OB3,2.6874,1.3283
Cep OB3,2.6893,1.3333
Cep OB3,2.6912,1.3586
Cep OB3,2.6931,1.3485
Cep OB3,2.6949,1.3737
Cep OB3,2.6968,1.3788
Cep OB3,2.6987,1.3838
Cep OB3,2.7006,1.3914
Cep OB3,2.7025,1.399
Cep OB3,2.7043,1.404
Cep OB3,2.7062,1.4066
Cep OB3,2.7081,1.4091
Cep OB3,2.71,1.4141
Cep OB3,2.7119,1.4141
Cep OB3,2.7137,1.4192
Cep OB3,2.7156,1.4192
Cep OB3,2.7175,1.4217
Cep OB3,2.7194,1.4242
Cep OB3,2.7231,1.4293
Cep OB3,2.725,1.4343
Cep OB3,2.7269,1.4394
Cep OB3,2.7288,1.4444
Cep OB3,2.7307,1.4495
Cep OB3,2.7325,1.4394
Cep OB3,2.7344,1.452
Cep OB3,2.7363,1.4545
Cep OB3,2.7382,1.4596
Cep OB3,2.7401,1.4672
Cep OB3,2.742,1.4798
Cep OB3,2.7438,1.4697
Cep OB3,2.7457,1.4899
Cep OB3,2.7476,1.4798
Cep OB3,2.7495,1.4848
Cep OB3,2.7514,1.4899
Cep OB3,2.7532,1.5
Cep OB3,2.7589,1.5202
Cep OB3,2.7608,1.5253
Cep OB3,2.7626,1.5278
Cep OB3,2.7645,1.5354
Cep OB3,2.7683,1.5455
Cep OB3,2.7702,1.5505
Cep OB3,2.772,1.5556
Cep OB3,2.7739,1.5631
Cep OB3,2.7758,1.5707
Cep OB3,2.7777,1.5758
Cep OB3,2.7814,1.5808
Cep OB3,2.7833,1.5859
Cep OB3,2.7852,1.6035
Cep OB3,2.7871,1.601
Cep OB3,2.789,1.596
Cep OB3,2.7908,1.6162
Cep OB3,2.7927,1.6061
Cep OB3,2.7946,1.6212
Cep OB3,2.7965,1.6263
Cep OB3,2.7984,1.6313
Cep OB3,2.8002,1.6414
Cep OB3,2.8021,1.6465
Cep OB3,2.804,1.6439
Cep OB3,2.8059,1.6591
Cep OB3,2.8078,1.6616
Cep OB3,2.8096,1.6616
Cep OB3,2.8115,1.6591
Cep OB3,2.8134,1.6566
Cep OB3,2.8153,1.6515
Cep OB3,2.8172,1.6515
Cep OB3,2.819,1.6616
Cep OB3,2.8209,1.6566
Cep OB3,2.8228,1.6768
Cep OB3,2.8247,1.6919
Cep OB3,2.8266,1.6894
Cep OB3,2.8284,1.6944
Cep OB3,2.8303,1.7071
Cep OB3,2.8322,1.7172
Cep OB3,2.8341,1.7222
Cep OB3,2.836,1.7273
Cep OB3,2.8378,1.7273
Cep OB3,2.8397,1.7323
Cep OB3,2.8416,1.7399
Cep OB3,2.8435,1.7374
Cep OB3,2.8454,1.7424
Cep OB3,2.8472,1.7424
Cep OB3,2.8491,1.7424
Cep OB3,2.851,1.7424
Cep OB3,2.8529,1.7525
Cep OB3,2.8548,1.7525
Cep OB3,2.8566,1.7677
Cep OB3,2.8585,1.7727
Cep OB3,2.8604,1.7727
Cep OB3,2.8623,1.7702
Cep OB3,2.8642,1.7854
Cep OB3,2.866,1.7904
Cep OB3,2.8679,1.7879
Cep OB3,2.8698,1.8081
Cep OB3,2.8717,1.8081
Cep OB3,2.8736,1.8081
Cep OB3,2.8754,1.8081
Cep OB3,2.8773,1.8232
Cep OB3,2.8792,1.8232
Cep OB3,2.8811,1.8485
Cep OB3,2.883,1.8384
Cep OB3,2.8848,1.851
Cep OB3,2.8867,1.8561
Cep OB3,2.8886,1.8535
Cep OB3,2.8905,1.8611
Cep OB3,2.8924,1.8586
Cep OB3,2.8942,1.8636
Cep OB3,2.8961,1.8737
Cep OB3,2.898,1.8712
Cep OB3,2.8999,1.8662
Cep OB3,2.9018,1.8586
Cep OB3,2.9036,1.8737
Cep OB3,2.9055,1.8788
Cep OB3,2.9074,1.8889
Cep OB3,2.9093,1.8788
Cep OB3,2.9112,1.904
Cep OB3,2.913,1.8939
Cep OB3,2.9149,1.9091
Cep OB3,2.9168,1.9091
Cep OB3,2.9187,1.9141
Cep OB3,2.9206,1.9192
Cep OB3,2.9224,1.9242
Cep OB3,2.9243,1.9217
Cep OB3,2.9262,1.9167
Cep OB3,2.9281,1.9141
Cep OB3,2.9318,1.9066
Cep OB3,2.9337,1.9015
Cep OB3,2.9356,1.904
Cep OB3,2.9375,1.8965
Cep OB3,2.9394,1.8914
Cep OB3,2.9412,1.899
Cep OB3,2.9431,1.899
Cep OB3,2.945,1.899
Cep OB3,2.9563,1.8838
Cep OB3,2.9582,1.8838
Cep OB3,2.96,1.8914
Cep OB3,2.9619,1.8788
Cep OB3,2.9638,1.8965
Cep OB3,2.9657,1.9167
Cep OB3,2.9676,1.9293
Cep OB3,2.9694,1.9343
Cep OB3,2.9713,1.9369
Cep OB3,2.9732,1.947
Cep OB3,2.9751,1.9545
Cep OB3,2.977,1.9545
Cep OB3,2.9788,1.9722
Cep OB3,2.9807,1.9747
Cep OB3,2.9826,1.9848
Cep OB3,2.9845,1.9924
Cep OB3,2.9864,2.0025
Cep OB3,2.9882,2.0126
Cep OB3,2.9901,2.0278
Cep OB3,2.992,2.0328
Cep OB3,2.9939,2.0303
Cep OB3,2.9958,2.0354
Cep OB3,2.9976,2.0455
Cep OB3,2.9995,2.0505
Cep OB3,3.0014,2.0556
Cep OB3,3.0033,2.0606
Cep OB3,3.0052,2.0657
Cygnus-X,2.1572,-0.1237
Cygnus-X,2.1591,-0.1263
Cygnus-X,2.161,-0.1212
Cygnus-X,2.1629,-0.1187
Cygnus-X,2.1647,-0.1136
Cygnus-X,2.1666,-0.1136
Cygnus-X,2.1685,-0.1086
Cygnus-X,2.1704,-0.1061
Cygnus-X,2.1723,-0.101
Cygnus-X,2.1741,-0.0985
Cygnus-X,2.176,-0.0934
Cygnus-X,2.1779,-0.0909
Cygnus-X,2.1798,-0.0884
Cygnus-X,2.1817,-0.0833
Cygnus-X,2.1835,-0.0808
Cygnus-X,2.1854,-0.0758
Cygnus-X,2.1873,-0.0732
Cygnus-X,2.1892,-0.0682
Cygnus-X,2.1911,-0.0682
Cygnus-X,2.1929,-0.0631
Cygnus-X,2.1948,-0.0581
Cygnus-X,2.1967,-0.053
Cygnus-X,2.1986,-0.053
Cygnus-X,2.2005,-0.048
Cygnus-X,2.2024,-0.0429
Cygnus-X,2.2042,-0.0379
Cygnus-X,2.2061,-0.0379
Cygnus-X,2.208,-0.0328
Cygnus-X,2.2099,-0.0303
Cygnus-X,2.2118,-0.0227
Cygnus-X,2.2136,-0.0227
Cygnus-X,2.2155,-0.0177
Cygnus-X,2.2174,-0.0152
Cygnus-X,2.2193,-0.0076
Cygnus-X,2.2212,-0.0076
Cygnus-X,2.223,-0.0025
Cygnus-X,2.2249,0.0
Cygnus-X,2.2268,0.0076
Cygnus-X,2.2287,0.0076
Cygnus-X,2.2306,0.0152
Cygnus-X,2.2324,0.0177
Cygnus-X,2.2343,0.0227
Cygnus-X,2.2362,0.0227
Cygnus-X,2.2381,0.0303
Cygnus-X,2.24,0.0328
Cygnus-X,2.2418,0.0379
Cygnus-X,2.2437,0.0404
Cygnus-X,2.2456,0.0455
Cygnus-X,2.2475,0.0505
Cygnus-X,2.2494,0.053
Cygnus-X,2.2512,0.0581
Cygnus-X,2.2531,0.0606
Cygnus-X,2.255,0.0657
Cygnus-X,2.2569,0.0682
Cygnus-X,2.2588,0.0758
Cygnus-X,2.2606,0.0783
Cygnus-X,2.2625,0.0833
Cygnus-X,2.2644,0.0859
Cygnus-X,2.2663,0.0909
Cygnus-X,2.2682,0.096
Cygnus-X,2.27,0.0985
Cygnus-X,2.2719,0.1035
Cygnus-X,2.2738,0.1061
Cygnus-X,2.2757,0.1136
Cygnus-X,2.2776,0.1162
Cygnus-X,2.2794,0.1212
Cygnus-X,2.2813,0.1237
Cygnus-X,2.2832,0.1288
Cygnus-X,2.2851,0.1338
Cygnus-X,2.287,0.1364
Cygnus-X,2.2888,0.1439
Cygnus-X,2.2907,0.1465
Cygnus-X,2.2926,0.1515
Cygnus-X,2.2945,0.1566
Cygnus-X,2.2964,0.1591
Cygnus-X,2.2982,0.1667
Cygnus-X,2.3001,0.1667
Cygnus-X,2.302,0.1768
Cygnus-X,2.3039,0.1793
Cygnus-X,2.3058,0.1818
Cygnus-X,2.3076,0.1869
Cygnus-X,2.3095,0.1919
Cygnus-X,2.3114,0.1995
Cygnus-X,2.3133,0.202
Cygnus-X,2.3152,0.2071
Cygnus-X,2.317,0.2121
Cygnus-X,2.3189,0.2146
Cygnus-X,2.3208,0.2222
Cygnus-X,2.3227,0.2222
Cygnus-X,2.3246,0.2298
Cygnus-X,2.3264,0.2323
Cygnus-X,2.3283,0.2374
Cygnus-X,2.3302,0.2424
Cygnus-X,2.3321,0.2449
Cygnus-X,2.334,0.2525
Cygnus-X,2.3358,0.2551
Cygnus-X,2.3377,0.2601
Cygnus-X,2.3396,0.2652
Cygnus-X,2.3415,0.2677
Cygnus-X,2.3434,0.2753
Cygnus-X,2.3452,0.2778
Cygnus-X,2.3471,0.2828
Cygnus-X,2.349,0.2879
Cygnus-X,2.3509,0.2904
Cygnus-X,2.3528,0.298
Cygnus-X,2.3546,0.303
Cygnus-X,2.3565,0.3056
Cygnus-X,2.3584,0.3131
Cygnus-X,2.3603,0.3131
Cygnus-X,2.3622,0.3207
Cygnus-X,2.364,0.3283
Cygnus-X,2.3659,0.3283
Cygnus-X,2.3678,0.3359
Cygnus-X,2.3697,0.3434
Cygnus-X,2.3716,0.3434
Cygnus-X,2.3734,0.351
Cygnus-X,2.3753,0.3586
Cygnus-X,2.3772,0.3586
Cygnus-X,2.3791,0.3662
Cygnus-X,2.381,0.3712
Cygnus-X,2.3828,0.3737
Cygnus-X,2.3847,0.3813
Cygnus-X,2.3866,0.3838
Cygnus-X,2.3885,0.3889
Cygnus-X,2.3904,0.3965
Cygnus-X,2.3922,0.399
Cygnus-X,2.3941,0.404
Cygnus-X,2.396,0.4091
Cygnus-X,2.3979,0.4141
Cygnus-X,2.3998,0.4192
Cygnus-X,2.4016,0.4242
Cygnus-X,2.4035,0.4293
Cygnus-X,2.4054,0.4343
Cygnus-X,2.4073,0.4394
Cygnus-X,2.4092,0.4444
Cygnus-X,2.411,0.4495
Cygnus-X,2.4129,0.4545
Cygnus-X,2.4148,0.4596
Cygnus-X,2.4167,0.4646
Cygnus-X,2.4186,0.4697
Cygnus-X,2.4204,0.4722
Cygnus-X,2.4223,0.4798
Cygnus-X,2.4242,0.4823
Cygnus-X,2.4261,0.4874
Cygnus-X,2.428,0.4924
Cygnus-X,2.4298,0.4975
Cygnus-X,2.4317,0.5025
Cygnus-X,2.4336,0.5076
Cygnus-X,2.4355,0.5101
Cygnus-X,2.4374,0.5177
Cygnus-X,2.4392,0.5177
Cygnus-X,2.4411,0.5253
Cygnus-X,2.443,0.5278
Cygnus-X,2.4449,0.5328
Cygnus-X,2.4468,0.5404
Cygnus-X,2.4486,0.5429
Cygnus-X,2.4505,0.548
Cygnus-X,2.4524,0.5556
Cygnus-X,2.4543,0.5606
Cygnus-X,2.4562,0.5657
Cygnus-X,2.458,0.5707
Cygnus-X,2.4599,0.5783
Cygnus-X,2.4618,0.5808
Cygnus-X,2.4637,0.5859
Cygnus-X,2.4656,0.5934
Cygnus-X,2.4675,0.5934
Cygnus-X,2.4693,0.601
Cygnus-X,2.4712,0.6035
Cygnus-X,2.4731,0.6086
Cygnus-X,2.475,0.6162
Cygnus-X,2.4769,0.6162
Cygnus-X,2.4787,0.6237
Cygnus-X,2.4806,0.6263
Cygnus-X,2.4825,0.6313
Cygnus-X,2.4844,0.6389
Cygnus-X,2.4863,0.6414
Cygnus-X,2.4881,0.6465
Cygnus-X,2.49,0.6515
Cygnus-X,2.4919,0.6566
Cygnus-X,2.4938,0.6616
Cygnus-X,2.4957,0.6667
Cygnus-X,2.4975,0.6717
Cygnus-X,2.4994,0.6768
Cygnus-X,2.5013,0.6818
Cygnus-X,2.5032,0.6869
Cygnus-X,2.5051,0.6919
Cygnus-X,2.5069,0.697
Cygnus-X,2.5088,0.702
Cygnus-X,2.5107,0.7071
Cygnus-X,2.5126,0.7121
Cygnus-X,2.5145,0.7172
Cygnus-X,2.5163,0.7222
Cygnus-X,2.5182,0.7273
Cygnus-X,2.5201,0.7323
Cygnus-X,2.522,0.7374
Cygnus-X,2.5239,0.7424
Cygnus-X,2.5257,0.7475
Cygnus-X,2.5276,0.7525
Cygnus-X,2.5295,0.7601
Cygnus-X,2.5314,0.7652
Cygnus-X,2.5333,0.7677
Cygnus-X,2.5351,0.7753
Cygnus-X,2.537,0.7828
Cygnus-X,2.5389,0.7828
Cygnus-X,2.5408,0.7904
Cygnus-X,2.5427,0.798
Cygnus-X,2.5445,0.8005
Cygnus-X,2.5464,0.8056
Cygnus-X,2.5483,0.8131
Cygnus-X,2.5502,0.8182
Cygnus-X,2.5521,0.8207
Cygnus-X,2.5539,0.8283
Cygnus-X,2.5558,0.8333
Cygnus-X,2.5577,0.8359
Cygnus-X,2.5596,0.8434
Cygnus-X,2.5615,0.846
Cygnus-X,2.5633,0.851
Cygnus-X,2.5652,0.8561
Cygnus-X,2.5671,0.8586
Cygnus-X,2.569,0.8662
Cygnus-X,2.5709,0.8687
Cygnus-X,2.5727,0.8737
Cygnus-X,2.5746,0.8788
Cygnus-X,2.5765,0.8838
Cygnus-X,2.5784,0.8889
Cygnus-X,2.5803,0.8939
Cygnus-X,2.5821,0.8965
Cygnus-X,2.584,0.904
Cygnus-X,2.5859,0.904
Cygnus-X,2.5878,0.9116
Cygnus-X,2.5897,0.9167
Cygnus-X,2.5915,0.9192
Cygnus-X,2.5934,0.9242
Cygnus-X,2.5953,0.9268
Cygnus-X,2.5972,0.9343
Cygnus-X,2.5991,0.9394
Cygnus-X,2.6009,0.9444
Cygnus-X,2.6028,0.952
Cygnus-X,2.6047,0.9545
Cygnus-X,2.6066,0.9596
Cygnus-X,2.6085,0.9646
Cygnus-X,2.6103,0.9697
Cygnus-X,2.6122,0.9747
Cygnus-X,2.6141,0.9798
Cygnus-X,2.616,0.9874
Cygnus-X,2.6179,0.9924
Cygnus-X,2.6197,0.9975
Cygnus-X,2.6216,1.0025
Cygnus-X,2.6235,1.0051
Cygnus-X,2.6254,1.0126
Cygnus-X,2.6273,1.0152
Cygnus-X,2.6291,1.0202
Cygnus-X,2.631,1.0227
Cygnus-X,2.6329,1.0278
Cygnus-X,2.6348,1.0328
Cygnus-X,2.6367,1.0354
Cygnus-X,2.6385,1.0429
Cygnus-X,2.6404,1.0455
Cygnus-X,2.6423,1.048
Cygnus-X,2.6442,1.053
Cygnus-X,2.6461,1.0581
Cygnus-X,2.6479,1.0606
Cygnus-X,2.6498,1.0657
Cygnus-X,2.6517,1.0682
Cygnus-X,2.6536,1.0732
Cygnus-X,2.6555,1.0783
Cygnus-X,2.6573,1.0808
Cygnus-X,2.6592,1.0833
Cygnus-X,2.6611,1.0909
Cygnus-X,2.663,1.0934
Cygnus-X,2.6649,1.0985
Cygnus-X,2.6667,1.1035
Cygnus-X,2.6686,1.1086
Cygnus-X,2.6705,1.1136
Cygnus-X,2.6724,1.1187
Cygnus-X,2.6743,1.1263
Cygnus-X,2.6761,1.1263
Cygnus-X,2.678,1.1313
Cygnus-X,2.6799,1.1364
Cygnus-X,2.6818,1.1389
Cygnus-X,2.6837,1.1439
Cygnus-X,2.6855,1.149
Cygnus-X,2.6874,1.154
Cygnus-X,2.6893,1.1591
Cygnus-X,2.6912,1.1641
Cygnus-X,2.6931,1.1667
Cygnus-X,2.6949,1.1692
Cygnus-X,2.6968,1.1742
Cygnus-X,2.6987,1.1768
Cygnus-X,2.7006,1.1818
Cygnus-X,2.7025,1.1843
Cygnus-X,2.7043,1.1869
Cygnus-X,2.7062,1.1944
Cygnus-X,2.7081,1.197
Cygnus-X,2.71,1.202
Cygnus-X,2.7119,1.2071
Cygnus-X,2.7137,1.2146
Cygnus-X,2.7156,1.2146
Cygnus-X,2.7175,1.2197
Cygnus-X,2.7194,1.2247
Cygnus-X,2.7213,1.2273
Cygnus-X,2.7231,1.2323
Cygnus-X,2.725,1.2374
Cygnus-X,2.7269,1.2399
Cygnus-X,2.7288,1.2449
Cygnus-X,2.7307,1.2475
Cygnus-X,2.7325,1.25
Cygnus-X,2.7344,1.2551
Cygnus-X,2.7363,1.2576
Cygnus-X,2.7382,1.2626
Cygnus-X,2.7401,1.2652
Cygnus-X,2.742,1.2702
Cygnus-X,2.7438,1.2727
Cygnus-X,2.7457,1.2778
Cygnus-X,2.7476,1.2803
Cygnus-X,2.7495,1.2854
Cygnus-X,2.7514,1.2879
Cygnus-X,2.7532,1.2879
Cygnus-X,2.7551,1.2929
Cygnus-X,2.757,1.3005
Cygnus-X,2.7589,1.303
Cygnus-X,2.7608,1.303
Cygnus-X,2.7626,1.3081
Cygnus-X,2.7645,1.3081
Cygnus-X,2.7664,1.3131
Cygnus-X,2.7683,1.3182
Cygnus-X,2.7702,1.3207
Cygnus-X,2.772,1.3258
Cygnus-X,2.7739,1.3258
Cygnus-X,2.7758,1.3308
Cygnus-X,2.7777,1.3333
Cygnus-X,2.7796,1.3409
Cygnus-X,2.7814,1.3434
Cygnus-X,2.7833,1.346
Cygnus-X,2.7852,1.3485
Cygnus-X,2.7871,1.351
Cygnus-X,2.789,1.3586
Cygnus-X,2.7908,1.3611
Cygnus-X,2.7927,1.3636
Cygnus-X,2.7946,1.3662
Cygnus-X,2.7965,1.3737
Cygnus-X,2.7984,1.3737
Cygnus-X,2.8002,1.3788
Cygnus-X,2.8021,1.3813
Cygnus-X,2.804,1.3864
Cygnus-X,2.8059,1.3889
Cygnus-X,2.8078,1.3939
Cygnus-X,2.8096,1.3965
Cygnus-X,2.8115,1.4015
Cygnus-X,2.8134,1.404
Cygnus-X,2.8153,1.4066
Cygnus-X,2.8172,1.4141
Cygnus-X,2.819,1.4192
Cygnus-X,2.8209,1.4217
Cygnus-X,2.8228,1.4242
Cygnus-X,2.8247,1.4268
Cygnus-X,2.8266,1.4268
Cygnus-X,2.8284,1.4293
Cygnus-X,2.8303,1.4343
Cygnus-X,2.8322,1.4369
Cygnus-X,2.8341,1.4394
Cygnus-X,2.836,1.4419
Cygnus-X,2.8378,1.4495
Cygnus-X,2.8397,1.452
Cygnus-X,2.8416,1.452
Cygnus-X,2.8435,1.4571
Cygnus-X,2.8454,1.4646
Cygnus-X,2.8472,1.4646
Cygnus-X,2.8491,1.4697
Cygnus-X,2.851,1.4747
Cygnus-X,2.8529,1.4798
Cygnus-X,2.8548,1.4848
Cygnus-X,2.8566,1.4848
Cygnus-X,2.8585,1.4874
Cygnus-X,2.8604,1.4924
Cygnus-X,2.8623,1.4975
Cygnus-X,2.8642,1.5
Cygnus-X,2.866,1.5051
Cygnus-X,2.8679,1.5076
Cygnus-X,2.8698,1.5152
Cygnus-X,2.8717,1.5177
Cygnus-X,2.8736,1.5227
Cygnus-X,2.8754,1.5253
Cygnus-X,2.8773,1.5278
Cygnus-X,2.8792,1.5328
Cygnus-X,2.8811,1.5303
Cygnus-X,2.883,1.5379
Cygnus-X,2.8848,1.5404
Cygnus-X,2.8867,1.5404
Cygnus-X,2.8886,1.5455
Cygnus-X,2.8905,1.548
Cygnus-X,2.8924,1.553
Cygnus-X,2.8942,1.5556
Cygnus-X,2.8961,1.5581
Cygnus-X,2.898,1.5606
Cygnus-X,2.8999,1.5631
Cygnus-X,2.9018,1.5707
Cygnus-X,2.9036,1.5707
Cygnus-X,2.9055,1.5758
Cygnus-X,2.9074,1.5758
Cygnus-X,2.9093,1.5783
Cygnus-X,2.9112,1.5783
Cygnus-X,2.913,1.5833
Cygnus-X,2.9149,1.5859
Cygnus-X,2.9168,1.5884
Cygnus-X,2.9187,1.5859
Cygnus-X,2.9206,1.5884
Cygnus-X,2.9224,1.5934
Cygnus-X,2.9243,1.5985
Cygnus-X,2.9262,1.601
Cygnus-X,2.9281,1.6035
Cygnus-X,2.93,1.6086
Cygnus-X,2.9318,1.6111
Cygnus-X,2.9337,1.6136
Cygnus-X,2.9356,1.6187
Cygnus-X,2.9375,1.6187
Cygnus-X,2.9394,1.6237
Cygnus-X,2.9412,1.6263
Cygnus-X,2.9431,1.6288
Cygnus-X,2.945,1.6313
Cygnus-X,2.9469,1.6338
Cygnus-X,2.9488,1.6338
Cygnus-X,2.9506,1.6389
Cygnus-X,2.9525,1.6414
Cygnus-X,2.9544,1.649
Cygnus-X,2.9563,1.649
Cygnus-X,2.9582,1.654
Cygnus-X,2.96,1.6566
Cygnus-X,2.9619,1.6591
Cygnus-X,2.9638,1.6641
Cygnus-X,2.9657,1.6641
Cygnus-X,2.9676,1.6717
Cygnus-X,2.9694,1.6742
Cygnus-X,2.9713,1.6793
Cygnus-X,2.9732,1.6793
Cygnus-X,2.9751,1.6818
Cygnus-X,2.977,1.6818
Cygnus-X,2.9788,1.6843
Cygnus-X,2.9807,1.6894
Cygnus-X,2.9826,1.6894
Cygnus-X,2.9845,1.6919
Cygnus-X,2.9864,1.6919
Cygnus-X,2.9882,1.6919
Cygnus-X,2.9901,1.6919
Cygnus-X,2.992,1.6944
Cygnus-X,2.9939,1.697
Cygnus-X,2.9958,1.702
Cygnus-X,2.9976,1.7045
Cygnus-X,2.9995,1.7096
Cygnus-X,3.0014,1.7096
Cygnus-X,3.0033,1.7146
Cygnus-X,3.0052,1.7172
Cygnus-X,3.0071,1.7197
Cygnus-X,3.0089,1.7247
Cygnus-X,3.0108,1.7273
Cygnus-X,3.0127,1.7273
Cygnus-X,3.0146,1.7298
Cygnus-X,3.0165,1.7298
Cygnus-X,3.0183,1.7348
Cygnus-X,3.0202,1.7348
Cygnus-X,3.0221,1.7399
Cygnus-X,3.024,1.7399
Cygnus-X,3.0259,1.7424
Cygnus-X,3.0277,1.7424
Cygnus-X,3.0296,1.7449
Cygnus-X,3.0315,1.7475
Cygnus-X,3.0334,1.75
Cygnus-X,3.0353,1.7525
Cygnus-X,3.0371,1.7525
Cygnus-X,3.039,1.7525
Cygnus-X,3.0409,1.7551
Cygnus-X,3.0428,1.7576
Cygnus-X,3.0447,1.7601
Cygnus-X,3.0465,1.7601
Cygnus-X,3.0484,1.7652
Cygnus-X,3.0503,1.7652
Cygnus-X,3.0522,1.7677
Cygnus-X,3.0541,1.7702
Cygnus-X,3.0559,1.7702
Cygnus-X,3.0578,1.7727
Cygnus-X,3.0597,1.7753
Cygnus-X,3.0616,1.7778
Cygnus-X,3.0635,1.7828
Cygnus-X,3.0653,1.7854
Cygnus-X,3.0672,1.7879
Cygnus-X,3.0691,1.7879
Cygnus-X,3.071,1.7879
Cygnus-X,3.0729,1.7904
Cygnus-X,3.0747,1.7955
Cygnus-X,3.0766,1.7955
Cygnus-X,3.0785,1.7955
Cygnus-X,3.0804,1.7955
Cygnus-X,3.0823,1.798
Cygnus-X,3.0841,1.798
Cygnus-X,3.086,1.798
Cygnus-X,3.0879,1.803
Cygnus-X,3.0898,1.803
Cygnus-X,3.0917,1.8005
Cygnus-X,3.0935,1.8005
Cygnus-X,3.0954,1.8081
Cygnus-X,3.0973,1.8131
Cygnus-X,3.0992,1.8157
Cygnus-X,3.1011,1.8182
Cygnus-X,3.1029,1.8157
Cygnus-X,3.1048,1.8157
Cygnus-X,3.1067,1.8157
Cygnus-X,3.1086,1.8182
Cygnus-X,3.1105,1.8182
Cygnus-X,3.1123,1.8207
Cygnus-X,3.1142,1.8258
Cygnus-X,3.1161,1.8283
Cygnus-X,3.118,1.8283
Cygnus-X,3.1199,1.8333
Cygnus-X,3.1217,1.8384
Cygnus-X,3.1236,1.8434
Cygnus-X,3.1255,1.8434
Cygnus-X,3.1274,1.8434
Cygnus-X,3.1293,1.8434
Cygnus-X,3.1311,1.846
Cygnus-X,3.133,1.8485
Cygnus-X,3.1349,1.8485
Cygnus-X,3.1368,1.8535
Cygnus-X,3.1387,1.8586
Cygnus-X,3.1405,1.8611
Cygnus-X,3.1424,1.8662
Cygnus-X,3.1443,1.8712
Cygnus-X,3.1462,1.8763
Cygnus-X,3.1481,1.8838
Cygnus-X,3.1499,1.8889
Cygnus-X,3.1518,1.8914
Cygnus-X,3.1537,1.8914
Cygnus-X,3.1556,1.8914
Cygnus-X,3.1575,1.8939
Cygnus-X,3.1593,1.8939
Cygnus-X,3.1612,1.8965
Cygnus-X,3.1631,1.8939
Cygnus-X,3.165,1.8914
Cygnus-X,3.1669,1.8914
Cygnus-X,3.1687,1.8939
Cygnus-X,3.1706,1.8965
Cygnus-X,3.1725,1.899
Cygnus-X,3.1744,1.9015
Cygnus-X,3.1763,1.9015
Cygnus-X,3.1781,1.899
Cygnus-X,3.18,1.899
Cygnus-X,3.1819,1.899
Cygnus-X,3.1838,1.9066
Cygnus-X,3.1857,1.9091
Cygnus-X,3.1875,1.9116
Cygnus-X,3.1894,1.9066
Cygnus-X,3.1913,1.9066
Cygnus-X,3.1932,1.904
Cygnus-X,3.1951,1.904
Cygnus-X,3.1969,1.9066
Cygnus-X,3.1988,1.9066
Cygnus-X,3.2007,1.9116
Cygnus-X,3.2026,1.9141
Cygnus-X,3.2045,1.9192
Cygnus-X,3.2063,1.9217
Cygnus-X,3.2082,1.9192
Cygnus-X,3.2101,1.9141
Cygnus-X,3.212,1.9091
Cygnus-X,3.2139,1.899
Cygnus-X,3.2157,1.8939
Cygnus-X,3.2176,1.8864
Cygnus-X,3.2195,1.8889
Cygnus-X,3.2214,1.8965
Cygnus-X,3.2233,1.8965
Cygnus-X,3.2251,1.8965
Cygnus-X,3.227,1.8914
Cygnus-X,3.2289,1.8914
Cygnus-X,3.2308,1.8914
Cygnus-X,3.2327,1.8914
