log_sigma_gas,log_sigma_star
3.8015,2.0649
4.3102,2.069
3.6821,2.0598
4.1846,2.0484
4.3819,2.0455
4.3139,2.0467
4.36,2.0307
3.2018,2.0371
3.2473,2.0442
3.775,2.0407
3.8887,2.0275
3.8189,2.0106
4.1956,2.0181
4.3137,2.0105
4.3838,2.0104
3.847,2.0095
3.7813,1.9527
3.6868,2.0007
3.8985,1.9942
3.6437,1.9952
3.696,1.9937
3.2663,1.9924
4.173,1.9783
4.1209,1.9785
3.9167,1.9669
4.1117,1.9798
4.4001,1.9749
3.5949,1.9732
3.7215,1.9678
4.2254,1.9686
4.336,1.9683
3.6226,1.9638
3.7592,1.9583
4.1495,1.9677
3.6979,1.9536
3.812,1.9594
4.2662,1.9523
4.2395,1.9542
4.4039,1.9576
3.6834,1.9488
4.1449,1.9485
4.2267,1.9485
3.2462,1.9358
3.8329,1.9392
3.7142,1.931
4.3011,1.9347
3.1945,1.923
3.9727,1.9153
4.3338,1.916
3.2663,1.9136
3.9356,1.9112
3.4813,1.9042
3.7583,1.9038
3.9275,1.907
4.1599,1.9016
3.587,1.8971
4.077,1.9034
3.6403,1.8993
4.1342,1.8768
3.6899,1.8973
3.8151,1.8982
4.0554,1.8816
3.7135,1.8685
3.6278,1.8904
3.8444,1.8852
3.8985,1.8778
3.6728,1.8604
3.7887,1.8797
4.0334,1.8789
3.2147,1.8583
4.1747,1.8614
3.7373,1.8754
4.4205,1.8763
4.0994,1.8613
3.6364,1.8534
3.6003,1.8294
3.7933,1.8608
4.0129,1.8445
4.2411,1.8503
3.858,1.8497
4.2485,1.8475
4.2585,1.8459
4.3742,1.8434
3.2704,1.8385
3.702,1.8105
3.9559,1.8272
3.2274,1.824
3.9686,1.8295
4.0348,1.8013
4.1141,1.8138
4.2949,1.8162
3.9395,1.8098
4.3174,1.813
3.6596,1.7965
3.9039,1.7969
4.2209,1.7885
3.6226,1.7954
3.6318,1.7717
3.7645,1.8021
3.8441,1.8047
4.0736,1.7932
4.3935,1.799
3.5544,1.7914
3.7198,1.7938
3.6084,1.7811
3.7838,1.7805
3.2364,1.7795
3.8068,1.7878
3.8159,1.7876
3.9968,1.7617
3.5791,1.7829
3.8022,1.769
3.9526,1.7464
4.199,1.7663
3.6561,1.7307
3.9177,1.7561
4.1208,1.7645
3.2649,1.7589
3.2853,1.7414
3.6778,1.751
3.7919,1.7612
3.855,1.7502
3.8113,1.7531
3.9073,1.7497
3.5825,1.7335
3.2225,1.7295
4.2139,1.7225
4.2585,1.7293
3.5645,1.6924
3.6743,1.7241
4.2973,1.7265
3.7199,1.7049
4.3585,1.7202
3.9935,1.7029
3.7774,1.7132
3.9279,1.7092
3.5915,1.692
3.6125,1.704
4.1734,1.6999
3.2875,1.6933
3.8932,1.642
4.1839,1.701
3.9793,1.6887
3.7802,1.675
3.5504,1.6778
3.6543,1.6781
3.6944,1.669
4.0202,1.6798
3.6241,1.6827
3.2969,1.6678
3.6726,1.6711
3.9282,1.6668
3.3242,1.6778
3.497,1.6751
3.6315,1.6405
4.1688,1.6635
3.7517,1.6587
4.2966,1.6618
3.8291,1.666
4.0144,1.6661
4.2053,1.6564
3.7092,1.6409
3.3289,1.6439
3.87,1.6351
3.2315,1.6392
3.831,1.6428
3.9272,1.6161
3.6472,1.6123
3.6971,1.6332
4.2773,1.624
3.3526,1.6161
3.778,1.6188
3.3813,1.6067
3.7574,1.6067
4.1827,1.6091
3.4988,1.6051
3.2546,1.6079
3.7014,1.6071
3.2909,1.5897
3.8615,1.5714
3.8782,1.5855
3.318,1.5939
3.6958,1.5979
4.1619,1.5979
3.666,1.5344
3.721,1.5933
4.1295,1.5932
4.2318,1.5944
3.4183,1.5864
3.7983,1.5772
4.0726,1.5892
3.3076,1.5846
3.6998,1.5646
3.4772,1.5768
3.7259,1.5641
3.8374,1.5393
3.3852,1.5699
3.5374,1.542
4.0545,1.5615
4.0998,1.5569
3.4922,1.558
3.5049,1.5016
4.0168,1.5577
3.2483,1.5509
3.2991,1.5562
3.5863,1.5314
3.5568,1.5246
4.2457,1.5473
3.7913,1.5364
4.1251,1.5464
3.8824,1.5339
4.0166,1.539
3.3026,1.5326
3.7464,1.5229
4.0231,1.5287
3.3526,1.52
3.4388,1.5051
3.8155,1.5161
4.0497,1.5147
3.7681,1.5096
3.2745,1.5148
3.41,1.4999
3.6405,1.507
3.9151,1.5069
3.2888,1.5106
3.3163,1.4984
3.6174,1.5073
3.6878,1.4932
3.2782,1.4804
3.9253,1.5022
3.9348,1.4936
3.9693,1.4567
4.0558,1.4852
3.6375,1.4734
3.7558,1.4566
4.0135,1.478
3.5863,1.4845
3.6258,1.4868
3.7859,1.4849
3.8294,1.487
4.0326,1.4697
3.815,1.4735
3.6748,1.4615
3.4852,1.4752
4.1773,1.4703
3.3151,1.4598
3.3775,1.4653
3.7098,1.4583
3.3707,1.4563
3.7185,1.4597
4.1703,1.4595
3.3561,1.4414
4.0594,1.4446
3.4222,1.4396
3.299,1.4336
3.6717,1.4207
4.0005,1.4303
3.6284,1.434
3.7013,1.4037
3.2635,1.4254
3.2728,1.4066
3.317,1.414
3.6049,1.4095
3.6352,1.4229
3.3821,1.4158
3.8351,1.4147
3.9063,1.3935
3.5881,1.4046
3.2868,1.4068
3.3026,1.4095
3.3344,1.3969
3.6321,1.4072
3.9552,1.4009
4.0909,1.4015
3.6244,1.3899
3.3011,1.3801
3.68,1.3741
3.9231,1.3939
3.2834,1.3702
3.583,1.3888
3.3722,1.3807
3.9272,1.3785
3.2512,1.3624
3.317,1.3692
3.4769,1.3535
3.5768,1.3596
3.6081,1.3543
3.5257,1.3479
3.8843,1.3581
3.5373,1.3518
3.9628,1.3524
3.9733,1.3418
3.8029,1.3162
3.3097,1.3058
3.1342,1.3046
3.3859,1.2978
3.4917,1.291
3.7741,1.2952
3.735,1.2709
3.7571,1.284
3.7663,1.2869
3.7025,1.2712
3.5015,1.2461
3.766,1.2672
3.6777,1.2506
3.1304,1.2402
3.5194,1.2403
3.653,1.2152
3.7967,1.2312
3.4682,1.2259
3.8065,1.193
3.1614,1.1973
3.202,1.1972
3.7371,1.1856
3.2126,1.1849
3.6232,1.1905
3.2486,1.1506
3.2188,1.1705
3.7803,1.1458
3.6665,1.1675
3.4372,1.1598
3.1902,1.1424
3.1708,1.1446
3.6671,1.1404
3.7352,1.1399
3.1742,1.1145
3.2701,1.1208
3.7757,1.1138
3.4189,1.093
3.3272,1.1048
3.6014,1.0966
3.2676,1.075
3.4716,1.0786
3.1609,1.0658
3.3909,1.0508
3.4116,1.0329
3.5822,1.0513
3.2874,1.0435
3.2808,1.0355
3.4314,0.9871
3.3556,1.0008
3.38,0.9803
3.3313,0.979
3.3125,0.9663
3.285,0.9581
3.5631,0.9597
3.2645,0.9491
3.3374,0.9588
3.3398,0.9315
3.5636,0.9012
3.4698,0.939
3.4807,0.935
3.7244,0.9381
3.7306,0.9218
3.3819,0.926
3.4491,0.9107
3.2609,0.8937
3.4332,0.9055
3.2772,0.9003
3.7011,0.8917
3.7329,0.8871
3.4164,0.842
3.4342,0.8722
3.4671,0.8829
3.4896,0.8625
3.5864,0.8714
3.4595,0.8741
3.7377,0.8525
3.5864,0.8463
3.702,0.833
3.5994,0.8456
3.5969,0.8262
3.6239,0.8223
3.4389,0.8183
3.7235,0.8215
3.6536,0.7927
3.6973,0.7956
3.5284,0.8007
3.4847,0.7917
3.6854,0.7649
3.5285,0.776
3.5816,0.7606
3.5719,0.7487
3.3483,0.0495
4.4582,0.0491
